match_id,team,ratio_Pass_horizontal_zone_left_wing,ratio_Pass_horizontal_zone_centre,ratio_Pass_horizontal_zone_right_wing,ratio_Pass_vertical_zone_back,ratio_Pass_vertical_zone_middle,ratio_Pass_vertical_zone_forward,ratio_Pressure_horizontal_zone_left_wing,ratio_Pressure_horizontal_zone_centre,ratio_Pressure_horizontal_zone_right_wing,ratio_Pressure_vertical_zone_back,ratio_Pressure_vertical_zone_middle,ratio_Pressure_vertical_zone_forward,pass_count,shot_count,dribble_count,pass_normalised_count,shot_normalised_count,dribble_normalised_count,pass_direction_forward_ratio,pass_direction_sideways_ratio,pass_direction_backward_ratio,pass_short_ratio,pass_medium_ratio,pass_long_ratio,shot_aerial_won_ratio,shot_first_time_ratio,pass_success_ratio,pass_cross_ratio
3764230,Tottenham Hotspur Women,0.2524850894632207,0.4870775347912525,0.26043737574552683,0.27236580516898606,0.5308151093439364,0.19681908548707752,0.30337078651685395,0.33707865168539325,0.3595505617977528,0.15730337078651685,0.5842696629213483,0.25842696629213485,503,12,14,0.27851605758582504,0.006644518272425249,0.007751937984496124,0.3320079522862823,0.5009940357852882,0.16699801192842942,0.46123260437375746,0.5149105367793241,0.02385685884691849,0.08333333333333333,0.0,0.757455268389662,0.02186878727634195
3764230,West Ham United LFC,0.28448275862068967,0.4547413793103448,0.2607758620689655,0.20689655172413793,0.49353448275862066,0.2995689655172414,0.38461538461538464,0.42011834319526625,0.1952662721893491,0.1834319526627219,0.47928994082840237,0.33727810650887574,464,8,18,0.27635497319833235,0.004764740917212627,0.01072066706372841,0.42887931034482757,0.4396551724137931,0.1314655172413793,0.47629310344827586,0.5129310344827587,0.010775862068965518,0.25,0.25,0.6918103448275862,0.03017241379310345
3764231,Birmingham City WFC,0.21568627450980393,0.5318627450980392,0.25245098039215685,0.41421568627450983,0.4068627450980392,0.17892156862745098,0.3211009174311927,0.3394495412844037,0.3394495412844037,0.24311926605504589,0.4541284403669725,0.30275229357798167,408,4,16,0.25987261146496815,0.0025477707006369425,0.01019108280254777,0.4264705882352941,0.43137254901960786,0.14215686274509803,0.5392156862745098,0.4215686274509804,0.0392156862745098,0.0,0.0,0.6666666666666666,0.0024509803921568627
3764231,Brighton & Hove Albion WFC,0.31092436974789917,0.3760504201680672,0.3130252100840336,0.17016806722689076,0.48739495798319327,0.34243697478991597,0.25906735751295334,0.43005181347150256,0.31088082901554404,0.14507772020725387,0.32642487046632124,0.5284974093264249,476,17,16,0.2762623331398723,0.009866511897852582,0.009286128845037725,0.35294117647058826,0.4810924369747899,0.16596638655462184,0.5252100840336135,0.4474789915966387,0.0273109243697479,0.058823529411764705,0.4117647058823529,0.7605042016806722,0.037815126050420166
3764232,Chelsea FCW,0.2759295499021526,0.4520547945205479,0.2720156555772994,0.27984344422700586,0.5048923679060665,0.21526418786692758,0.22784810126582278,0.46835443037974683,0.3037974683544304,0.24050632911392406,0.5,0.25949367088607594,511,16,16,0.2874015748031496,0.008998875140607425,0.008998875140607425,0.34637964774951074,0.49706457925636005,0.15655577299412915,0.48140900195694714,0.5048923679060665,0.0136986301369863,0.125,0.6875,0.7945205479452054,0.0273972602739726
3764232,Manchester United,0.21920289855072464,0.5344202898550725,0.2463768115942029,0.2644927536231884,0.47644927536231885,0.25905797101449274,0.25157232704402516,0.4591194968553459,0.2893081761006289,0.1949685534591195,0.37735849056603776,0.4276729559748428,552,12,14,0.2990249187432286,0.0065005417118093175,0.007583965330444204,0.34057971014492755,0.5217391304347826,0.13768115942028986,0.5652173913043478,0.427536231884058,0.007246376811594203,0.08333333333333333,0.25,0.782608695652174,0.018115942028985508
3764233,Arsenal WFC,0.21183206106870228,0.4713740458015267,0.31679389312977096,0.29770992366412213,0.4446564885496183,0.25763358778625955,0.19230769230769232,0.4153846153846154,0.3923076923076923,0.23846153846153847,0.5153846153846153,0.24615384615384617,524,20,21,0.2973893303064699,0.011350737797956867,0.01191827468785471,0.36450381679389315,0.4732824427480916,0.16221374045801526,0.5534351145038168,0.4312977099236641,0.015267175572519083,0.05,0.4,0.7843511450381679,0.015267175572519083
3764233,Reading WFC,0.2932330827067669,0.46616541353383456,0.24060150375939848,0.24060150375939848,0.5338345864661654,0.22556390977443608,0.29545454545454547,0.45454545454545453,0.25,0.26704545454545453,0.25,0.48295454545454547,399,11,14,0.2677852348993289,0.00738255033557047,0.009395973154362415,0.37343358395989973,0.47117794486215536,0.15538847117794485,0.48120300751879697,0.48872180451127817,0.03007518796992481,0.09090909090909091,0.2727272727272727,0.7493734335839599,0.015037593984962405
3764234,Aston Villa,0.23684210526315788,0.47368421052631576,0.2894736842105263,0.32894736842105265,0.44473684210526315,0.22631578947368422,0.18652849740932642,0.5854922279792746,0.22797927461139897,0.23834196891191708,0.40932642487046633,0.35233160621761656,380,7,28,0.25065963060686014,0.004617414248021108,0.018469656992084433,0.3631578947368421,0.4368421052631579,0.2,0.48157894736842105,0.5105263157894737,0.007894736842105263,0.0,0.42857142857142855,0.7631578947368421,0.013157894736842105
3764234,Manchester City WFC,0.24303405572755418,0.5619195046439629,0.19504643962848298,0.23993808049535603,0.4551083591331269,0.30495356037151705,0.3708609271523179,0.423841059602649,0.2052980132450331,0.1456953642384106,0.44370860927152317,0.4105960264900662,646,17,33,0.288135593220339,0.007582515611061552,0.014719000892060661,0.2678018575851393,0.5309597523219814,0.20123839009287925,0.544891640866873,0.44427244582043346,0.010835913312693499,0.058823529411764705,0.23529411764705882,0.846749226006192,0.02631578947368421
